year,EcGDP,EcGDP2,UsGDP,UsGDP2,"Ec - Population ages 40-44, female (% of female population)","Ec - Population ages 35-39, male (% of male population)","Ec - Population ages 35-39, female (% of female population)","Ec - Population ages 30-34, male (% of male population)","Ec - Population ages 30-34, female (% of female population)","Ec - Population ages 25-29, male (% of male population)","Ec - Population ages 25-29, female (% of female population)","Ec - Population ages 20-24, male (% of male population)","Ec - Population ages 20-24, female (% of female population)","Ec - Population ages 15-19, male (% of male population)","Ec - Population ages 15-19, female (% of female population)","Ec - Population ages 10-14, male (% of male population)","Ec - Population ages 10-14, female (% of female population)","Ec - Population ages 05-09, male (% of male population)","Ec - Population ages 05-09, female (% of female population)"
2002,2172.101877,-65.93898853,38023.16111,69.091618,5.559075436,6.446737715,6.528149809,7.490764142,7.54086765,8.383917508,8.373178233,9.264182219,9.120187059,10.23486463,9.961293526,11.01995042,10.68982489,11.66172955,11.27446107
2003,2425.851842,-61.95990241,39496.48588,71.76878604,5.610125923,6.498232084,6.581030166,7.492770598,7.546290751,8.341334528,8.323524476,9.259613211,9.09589505,10.21890671,9.940897696,10.94611091,10.61036158,11.60091673,11.20257039
2004,2691.278081,-57.7977191,41712.80107,75.79603675,5.661808217,6.541126823,6.626316496,7.486451375,7.542156656,8.308401321,8.281106351,9.261819856,9.079732783,10.20224696,9.918601168,10.87442888,10.5323094,11.53364869,11.12501863
2005,3002.136867,-52.92310212,44114.74778,80.16059718,5.711793442,6.572024256,6.660639529,7.472210276,7.528248397,8.289193701,8.249691207,9.266193209,9.068694129,10.17813345,9.887392358,10.81245769,10.46275617,11.43685934,11.02165199
2006,3328.882972,-47.79935404,46298.73144,84.1290985,5.778213283,6.61780477,6.709769933,7.475197861,7.528758613,8.295878567,8.241655798,9.271664847,9.06626503,10.13179576,9.839533226,10.75969389,10.40060417,11.31201102,10.8918319
2007,3567.836438,-44.05229373,47975.96768,87.17679264,5.8461781,6.653748771,6.750192714,7.46747294,7.517638762,8.308587289,8.238042501,9.274248124,9.064382604,10.07209352,9.776903881,10.71402559,10.34393623,11.14785925,10.72783457
2008,4249.019262,-33.37057745,48382.55845,87.91560586,5.913077419,6.6806586,6.781834306,7.455906879,7.501127494,8.325786017,8.238943314,9.27286329,9.059979946,10.00889481,9.708120305,10.66812626,10.286887,10.94875191,10.53350141
2009,4231.615798,-33.64348343,47099.98047,85.58504246,5.9755114,6.700024192,6.804686085,7.449872873,7.487873388,8.344806934,8.243640609,9.265864737,9.048843571,9.955037175,9.645192734,10.6055508,10.2149383,10.734373,10.32599236
2010,4633.590358,-27.34006817,48466.82338,88.06872307,6.030895926,6.712769999,6.818813202,7.454144772,7.482403991,8.363423898,8.250443446,9.252225261,9.028294989,9.91461438,9.592803722,10.51025131,10.11375213,10.53211199,10.12943812
2011,5200.55579,-18.44940965,49883.11398,90.64225475,6.08308502,6.725166648,6.829320033,7.472237131,7.487086189,8.380880611,8.260265365,9.221709795,8.996866197,9.870673499,9.545028756,10.38334068,9.987649059,10.35543178,9.956643556
2012,5682.045007,-10.89911475,51603.49726,93.76835107,6.129432781,6.730534725,6.830726482,7.496969489,7.496846755,8.396277033,8.271490713,9.180003195,8.952718601,9.839928109,9.506560938,10.23137181,9.838294142,10.19278876,9.795676944
2013,6056.330827,-5.02989022,53106.90977,96.50019134,6.168751888,6.733515065,6.827643482,7.525371707,7.510673054,8.407246734,8.280512643,9.134119765,8.90218355,9.810846961,9.467162721,10.06223729,9.673413017,10.04628064,9.648854249
2014,6377.09153,0,55032.958,100,6.199603779,6.740101935,6.826424778,7.552891086,7.526220692,8.41020771,8.281880767,9.09379707,8.854708112,9.764125858,9.410248952,9.89087138,9.506448293,9.913172681,9.514896963
